Company Name,Category,Sub Cat,Period,ValueRandomized 
Potato Inc.,Revenue By Product,Tablets,2022 Q1,"57,98,40,00,000"
Potato Inc.,Revenue By Product,Tablets,2022 Q2,"68,81,40,00,000"
Potato Inc.,Revenue By Product,Tablets,2022 Q3,"21,67,20,00,000"
Potato Inc.,Revenue By Product,Tablets,2022 Q4,"35,87,00,00,000"
Potato Inc.,Revenue By Product,Tablets,2023 Q2,"50,17,60,00,000"
Potato Inc.,Revenue By Product,Tablets,2023 Q3,"46,32,80,00,000"
Potato Inc.,Revenue By Product,Tablets,2023 Q1,"59,61,60,00,000"
Potato Inc.,Revenue By Product,Smartphones,2022 Q1,"5,73,00,00,00,000"
Potato Inc.,Revenue By Product,Smartphones,2022 Q2,"2,53,00,00,00,000"
Potato Inc.,Revenue By Product,Smartphones,2022 Q3,"2,03,00,00,00,000"
Potato Inc.,Revenue By Product,Smartphones,2022 Q4,"1,28,00,00,00,000"
Potato Inc.,Revenue By Product,Smartphones,2023 Q2,"2,05,00,00,00,000"
Potato Inc.,Revenue By Product,Smartphones,2023 Q3,"1,59,00,00,00,000"
Potato Inc.,Revenue By Product,Smartphones,2023 Q1,"4,60,00,00,00,000"
Potato Inc.,Revenue By Product,Services,2023 Q1,"1,25,00,00,00,000"
Potato Inc.,Revenue By Product,Services,2022 Q1,"1,37,00,00,00,000"
Potato Inc.,Revenue By Product,Services,2022 Q2,"79,28,40,00,000"
Potato Inc.,Revenue By Product,Services,2022 Q3,"1,37,00,00,00,000"
Potato Inc.,Revenue By Product,Services,2022 Q4,"1,73,00,00,00,000"
Potato Inc.,Revenue By Product,Services,2023 Q2,"1,67,00,00,00,000"
Potato Inc.,Revenue By Product,Services,2023 Q3,"63,63,90,00,000"
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2022 Q1,"39,24,00,00,000"
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2022 Q2,"28,16,80,00,000"
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2022 Q3,"24,60,00,00,000"
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2022 Q4,"50,98,40,00,000"
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2023 Q2,"48,71,40,00,000"
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2023 Q3,"22,52,00,00,000"
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2023 Q1,"38,14,00,00,000"
Potato Inc.,Revenue By Product,Other,2023 Q1,"80,89,20,00,000"
Potato Inc.,Revenue By Product,Other,2022 Q1,"58,80,40,00,000"
Potato Inc.,Revenue By Product,Other,2022 Q2,"79,25,40,00,000"
Potato Inc.,Revenue By Product,Other,2022 Q3,"32,33,60,00,000"
Potato Inc.,Revenue By Product,Other,2022 Q4,"48,25,00,00,000"
Potato Inc.,Revenue By Product,Other,2023 Q2,"35,02,80,00,000"
Potato Inc.,Revenue By Product,Other,2023 Q3,"24,85,20,00,000"
Potato Inc.,Revenue By Region,Japan,2022 Q1,"49,74,90,00,000"
Potato Inc.,Revenue By Region,Japan,2022 Q2,"15,44,80,00,000"
Potato Inc.,Revenue By Region,Japan,2022 Q3,"43,56,80,00,000"
Potato Inc.,Revenue By Region,Japan,2022 Q4,"45,60,00,00,000"
Potato Inc.,Revenue By Region,Japan,2023 Q2,"43,05,60,00,000"
Potato Inc.,Revenue By Region,Japan,2023 Q3,"33,74,70,00,000"
Potato Inc.,Revenue By Region,Japan,2023 Q1,"20,26,50,00,000"
Potato Inc.,Revenue By Region,Greater China,2022 Q1,"1,29,00,00,00,000"
Potato Inc.,Revenue By Region,Greater China,2022 Q2,"91,71,50,00,000"
Potato Inc.,Revenue By Region,Greater China,2022 Q3,"43,81,20,00,000"
Potato Inc.,Revenue By Region,Greater China,2022 Q4,"92,82,00,00,000"
Potato Inc.,Revenue By Region,Greater China,2023 Q2,"53,43,60,00,000"
Potato Inc.,Revenue By Region,Greater China,2023 Q3,"1,10,00,00,00,000"
Potato Inc.,Revenue By Region,Greater China,2023 Q1,"1,91,00,00,00,000"
Potato Inc.,Revenue By Region,Europe,2022 Q1,"2,08,00,00,00,000"
Potato Inc.,Revenue By Region,Europe,2022 Q2,"1,16,00,00,00,000"
Potato Inc.,Revenue By Region,Europe,2022 Q3,"1,74,00,00,00,000"
Potato Inc.,Revenue By Region,Europe,2022 Q4,"1,82,00,00,00,000"
Potato Inc.,Revenue By Region,Europe,2023 Q2,"95,78,00,00,000"
Potato Inc.,Revenue By Region,Europe,2023 Q3,"1,62,00,00,00,000"
Potato Inc.,Revenue By Region,Europe,2023 Q1,"1,94,00,00,00,000"
Potato Inc.,Revenue By Product,Computers,2023 Q1,"61,88,00,00,000"
Potato Inc.,Revenue By Product,Computers,2022 Q1,"54,26,00,00,000"
Potato Inc.,Revenue By Product,Computers,2022 Q2,"52,17,50,00,000"
Potato Inc.,Revenue By Product,Computers,2022 Q3,"59,05,60,00,000"
Potato Inc.,Revenue By Product,Computers,2022 Q4,"23,01,60,00,000"
Potato Inc.,Revenue By Product,Computers,2023 Q2,"46,69,00,00,000"
Potato Inc.,Revenue By Product,Computers,2023 Q3,"34,20,00,00,000"
Potato Inc.,Revenue By Region,Americas,2022 Q1,"3,60,00,00,00,000"
Potato Inc.,Revenue By Region,Americas,2022 Q2,"2,04,00,00,00,000"
Potato Inc.,Revenue By Region,Americas,2022 Q3,"3,37,00,00,00,000"
Potato Inc.,Revenue By Region,Americas,2022 Q4,"2,79,00,00,00,000"
Potato Inc.,Revenue By Region,Americas,2023 Q1,"1,97,00,00,00,000"
Potato Inc.,Revenue By Region,Americas,2023 Q2,"1,89,00,00,00,000"
Potato Inc.,Revenue By Region,Americas,2023 Q3,"1,77,00,00,00,000"
